AEROPUERTO,CIUDAD,PAIS,CLIMA,MICROCLIMA
HND,HANEDA,JAPON,SUBTROPICAL,HUMEDO
IST,ESTAMBUL,TURQUIA,MEDITERRANEO,CONTINENTAL
DXB,DUBAI,EMIRATOS ARABES UNIDOS,TROPICAL,DESERTICO
OPO,OPORTO,PORTUGAL,ATLANTICO,OCEANICO
LIS,LISBOA,PORTUGAL,ATLANTICO,OCEANICO
CVU,VILA DO CORVO,PORTUGAL,ATLANTICO,OCEANICO
IBZ,IBIZA,ESPAÑA,MEDITERRANEO,MEDITERRANEO
MAD,MADRID,ESPAÑA,MEDITERRANEO,MEDITERRANEO
PNA,PAMPLONA,ESPAÑA,MEDITERRANEO,OCEANICO
RMU,MURCIA,ESPAÑA,MEDITERRANEO,MEDITERRANEO
SVQ,SEVILLA,ESPAÑA,MEDITERRANEO,MEDITERRANEO
TFS,TENERIFE,ESPAÑA,MEDITERRANEO,SUBTROPICAL
TFN,TENERIFE,ESPAÑA,MEDITERRANEO,SUBTROPICAL
VGO,VIGO,ESPAÑA,MEDITERRANEO,OCEANICO
VLL,VALLADOLID,ESPAÑA,MEDITERRANEO,MEDITERRANEO
ZAZ,ZARAGOZA,ESPAÑA,MEDITERRANEO,MEDITERRANEO
BIO,BILBAO,ESPAÑA,MEDITERRANEO,OCEANICO
BCN,BARCELONA,ESPAÑA,MEDITERRANEO,MEDITERRANEO
GRX,GRANADA,ESPAÑA,MEDITERRANEO,MEDITERRANEO
CMN,CASABLANCA,MARRUECOS,SUBTROPICAL,DESERTICO
BUD,BUDAPEST,HUNGRIA,CONTINENTAL,CONTINENTAL
DME,MOSCU,RUSIA,CONTINENTAL,CONTINENTAL
ATH,ATENAS,GRECIA,MEDITERRANEO,MEDITERRANEO
ARN,ESTOCOLMO,SUECIA,BALTICO,BALTICO
AMS,AMSTERDAM,PAISES BAJOS,CONTINENTAL,OCEANICO
BOD,BURDEOS,FRANCIA,ATLANTICO,OCEANICO
LHR,LONDRES,REINO UNIDO,ATLANTICO,OCEANICO
MUC,MUNICH,ALEMANIA,CONTINENTAL,CONTINENTAL
MXP,MILAN,ITALIA,MEDITERRANEO,CONTINENTAL
AEP,BUENOS AIRES,ARGENTINA,SUBTROPICAL,HUMEDO
CUE,CUENCA,ECUADOR,TROPICAL,SABANA
BOG,BOGOTA,COLOMBIA,TROPICAL,SABANA
CCS,CARACAS,VENEZUELA,TROPICAL,SABANA
HAV,HAVANA,CUBA,TROPICAL,SECO
JFK,NUEVA YORK,ESTADOS UNIDOS,CONTINENTAL,HUMEDO
MEX,CIUDAD DE MEXICO,MEXICO,TROPICAL,HUMEDO
HNL,HONOLULU,ESTADOS UNIDOS,TROPICAL,HUMEDO